step,price,soc,action,profit,policy
0,38,0.5,2,0,DQN
1,64.85,0.375,0,2.0250000000000004,DQN
2,66.18,0.375,2,2.0250000000000004,DQN
3,30.21,0.25,2,7.220250000000001,DQN
4,42,0.125,2,8.368875000000001,DQN
5,66,0,0,10.843875,DQN
6,84.13,0,2,10.843875,DQN
7,74,0,2,10.843875,DQN
8,74,0,0,10.843875,DQN
9,50,0,2,10.843875,DQN
10,42.85,0,1,10.843875,DQN
11,96.63,0.125,2,2.1147083333333327,DQN
12,76,0,0,10.735583333333333,DQN
13,39.29,0,2,10.735583333333333,DQN
14,41.48,0,1,10.735583333333333,DQN
15,78.96,0.125,2,2.1966944444444447,DQN
16,74,0,0,8.829694444444444,DQN
17,50,0,2,8.829694444444444,DQN
18,37.58,0,1,8.829694444444444,DQN
19,68,0.125,2,0.8324722222222221,DQN
20,66,0,1,6.232472222222222,DQN
21,44,0.125,0,-5.711972222222224,DQN
22,43.2,0.125,2,-5.711972222222224,DQN
23,76.77,0,2,-3.1019722222222237,DQN
24,51.25,0,1,-3.1019722222222237,DQN
25,37.19,0.125,0,-12.997805555555558,DQN
26,42,0.125,2,-12.997805555555558,DQN
27,66,0,2,-10.522805555555557,DQN
28,66,0,2,-10.522805555555557,DQN
29,40.49,0,1,-10.522805555555557,DQN
30,35.91,0.125,0,-18.924194444444446,DQN
31,69.96,0.125,2,-18.924194444444446,DQN
32,62,0,2,-13.303694444444446,DQN
33,38,0,1,-13.303694444444446,DQN
34,19.13,0.125,0,-21.359250000000003,DQN
35,76,0.125,2,-21.359250000000003,DQN
36,54.71,0,2,-15.059250000000002,DQN
37,37.31,0,2,-15.059250000000002,DQN
38,24.95,0,2,-15.059250000000002,DQN
39,74,0,2,-15.059250000000002,DQN
40,45.89,0,2,-15.059250000000002,DQN
41,38.02,0,2,-15.059250000000002,DQN
42,28.53,0,0,-15.059250000000002,DQN
43,61.35,0,2,-15.059250000000002,DQN
44,39.25,0,2,-15.059250000000002,DQN
45,38,0,2,-15.059250000000002,DQN
46,29.54,0,2,-15.059250000000002,DQN
47,62,0,2,-15.059250000000002,DQN
48,39.54,0,2,-15.059250000000002,DQN
49,32,0,0,-15.059250000000002,DQN
50,32,0,0,-15.059250000000002,DQN
51,30.01,0,2,-15.059250000000002,DQN
52,30,0,2,-15.059250000000002,DQN
53,42,0,2,-15.059250000000002,DQN
54,59.94,0,0,-15.059250000000002,DQN
55,31.74,0,2,-15.059250000000002,DQN
56,36.52,0,2,-15.059250000000002,DQN
57,58.16,0,2,-15.059250000000002,DQN
58,32.78,0,0,-15.059250000000002,DQN
59,24,0,0,-15.059250000000002,DQN
60,27.12,0,2,-15.059250000000002,DQN
61,37.91,0,2,-15.059250000000002,DQN
62,61,0,2,-15.059250000000002,DQN
63,15.35,0,0,-15.059250000000002,DQN
64,31.3,0,2,-15.059250000000002,DQN
65,58.16,0,2,-15.059250000000002,DQN
66,66,0,2,-15.059250000000002,DQN
67,16.26,0,2,-15.059250000000002,DQN
68,36.27,0,1,-15.059250000000002,DQN
69,60.71,0.125,2,-22.87452777777778,DQN
70,66.84,0,2,-18.294652777777777,DQN
71,36.39,0,2,-18.294652777777777,DQN
72,39.52,0,2,-18.294652777777777,DQN
73,60.2,0,0,-18.294652777777777,DQN
74,61.87,0,2,-18.294652777777777,DQN
75,40.16,0,2,-18.294652777777777,DQN
76,50.26,0,2,-18.294652777777777,DQN
77,61.73,0,2,-18.294652777777777,DQN
0,38,0.5,1,0,DDQN
1,64.85,0.625,2,-8.055555555555555,DDQN
